func,heuristic,mean,median
egg,kb,0.007821269758425196,5.215205399442385e-13
branin,kb,0.04549548491451427,3.386735565079993e-23
hartmann,kb,0.06296982627049029,2.7511171211911447e-33
egg,cl-mean,0.8992831295374769,0.9999999942164333
branin,cl-mean,0.6725044344237461,1.0
hartmann,cl-mean,0.6908775559460446,0.9994961501012805
egg,cl-min,0.8214379476575909,0.9999996900733816
branin,cl-min,0.7166099448054308,1.0
hartmann,cl-min,0.6422329201872086,0.9885092515694505
egg,cl-max,0.8661856657091762,0.9999999978267011
branin,cl-max,0.6562828230016137,0.9999999999999987
hartmann,cl-max,0.676004481935112,0.9935977612571361
egg,random_except_1st,0.9407360349272796,0.9999999985174411
branin,random_except_1st,0.9445643113580022,1.0
hartmann,random_except_1st,0.8620453687550999,1.0
egg,seq,0.95307042015465,1.0
branin,seq,0.9493783867994312,1.0
hartmann,seq,0.9868492927126855,1.0
